Name,UserID,Area_Of_Expertise_1,Area_Of_Expertise_2,Area_Of_Expertise_3,Area_Of_Expertise_4,Area_Of_Expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Santo Fortunato,NDrCCokAAAAJ,complex systems,network science,computational social science,science of science,climate change,,,,,,,,,,,,,,,,,157,307,570,1124,1670,2224,2792
Noah A. Smith,TjdFs3EAAAAJ,natural language processing,machine learning,computational social science,,,,,,,,,,,,,,,,,111,138,153,187,249,495,776,1058,1446
Jon Kleinberg,VX7d5EQAAAAJ,algorithms,data mining,information networks,social networks,Web mining,,,,,,,,,337,496,822,1251,1556,1980,2262,2571,2903,3092,3643,4465,5199,6247,6748
ronald s. burt,YmoiCIcAAAAJ,sociology,behavioral science,social networks,management,,,,308,331,336,475,528,633,843,1113,1211,1450,2074,2435,2770,3291,3751,4480,4767,5510,5631,6034,6480
Stephen P. Borgatti,hlk4a4gAAAAJ,Social networks,knowledge,computational models,,,,,,,,,,,,,309,364,550,690,1148,1485,1835,2176,2470,3084,3436,4006,4410
Barry Wellman,_q2NODAAAAAJ,social networks,internet and society,mobile phones and society,,,,251,249,245,291,449,444,523,688,940,1225,1586,1691,1987,2301,2532,2850,2953,3160,3602,3804,4385,4520
Hanghang Tong,RaINcuUAAAAJ,Large Scale Data Mining,Graph Mining,Social Networks,Healthcare,Multimedia,,,,,,,,,,,205,562,829,1078,1497,1628,1774,2043,2494,2804,3006,3387,3682
Linton C Freeman,quiVMg8AAAAJ,social networks,,,,,,,210,163,151,218,223,329,323,322,416,476,615,719,1082,1256,1604,1925,2253,2619,3011,3262,3739
Nan Lin,HpqAmUcAAAAJ,sociology,economic sociology,social networks,social capital,china,269,241,242,243,328,342,376,349,414,495,575,695,907,1100,1257,1595,1753,2022,2124,2348,2750,3047,3349
Steve Brown,_DUpMCoAAAAJ,social networks,electric vehicles,internet of things,mobile computing,telemedicine,,,,,,,,,,,201,391,515,548,744,862,1456,1406,1792,3802,5741,5035,5437
James H. Fowler,zPXbwJgAAAAJ,social networks,evolution,politics,genetics,big data,,,,,,,,,,,,,,,,,196,504,1003,1612,2241,2715,3385
William T. Vetterling,nUGraTEAAAAJ,physics,numerical methods,modeling and simulation,,,1034,1457,1812,2313,2940,3728,4382,4878,5004,5455,5607,5784,6071,6291,6549,6646,6742,6181,5782,5554,5254,5174,4934
Edward A. LEE,IJgXsgwAAAAJ,Cyber-Physical Systems,Embedded Systems,Real Time Systems,Modeling and Simulation,Philosophy of Technology,183,245,270,455,552,604,699,706,705,854,948,1009,1294,1255,1456,1726,1839,2053,2063,2243,2632,2487,2880
ZHANG Yong-Wei,6ARm7PcAAAAJ,Modeling and Simulation,Additive Manufacturing,2D Materials,Energy Materials,High Entropy Alloys.,,,,,,,,,,,,,,,,108,159,169,238,301,401,731,993
Federico Girosi,Q3Do9UMAAAAJ,Modeling and Simulation,Machine Learning and Health Policy,Health Economics,,,205,313,431,535,592,603,553,774,748,710,818,937,1017,1063,1190,1292,1279,1262,1324,1262,1248,1216,1208
Zhenhai Xia,oZS9HWsAAAAJ,composites,modeling and simulation,biomimics,catalysis,,,,,,,,,,,,,,,,,70,95,131,218,378,499,669,977
Patrick Segers,PWjGliEAAAAJ,biomedical engineering,cardiovascular fluid mechanics,modeling and simulation,hemodynamics,vascular physiology,,,,,,,,,,,,62,96,137,193,216,292,362,448,593,761,996,1233
Richard Fujimoto,q1bkP7AAAAAJ,modeling and simulation,parallel computing,distributed computing,distributed simulation,,181,247,335,352,406,378,337,424,522,510,479,482,515,702,837,814,815,689,808,840,746,817,809
J. Karl Johnson,a9QyH-0AAAAJ,modeling and simulation,,,,,,,,,,65,58,67,110,162,238,342,366,516,529,593,798,781,981,922,1005,1002,945
Xin Sun,wyN2Iz8AAAAJ,ICME,modeling and simulation,materials,multi-scale,advanced high strength steels,,56,62,31,34,41,57,40,46,47,43,54,43,56,107,81,95,107,173,251,365,441,589
Luis Orlindo Tedeschi,uczywzIAAAAJ,Ruminant Nutrition,Bioenergetics,Modeling and Simulation,Feed Characterization,,,,,,,,,,,,47,121,142,232,244,320,365,432,428,554,603,670,668
